depth	   value	  time		generated	expanded(leaf)
0             -4               1e-05	0		1
1              4        1.600000e-05	1		1
2             -4        4.000000e-05	4		2
3              4        3.000000e-05	5		2
4             -4        7.600000e-05	12		4
5              4        7.700000e-05	13		4
6             -4        1.720000e-04	26		6
7              4        4.060000e-04	81		20
8             -4        6.900000e-04	237		52
9              4        2.920000e-03	1002		234
10             -4        4.605000e-03	1501		350
11              4        8.993000e-03	4067		900
12             -4        1.625800e-02	9129		2099
13              4        1.678830e-01	98754		22734
14             -4        2.186720e-01	127643		29515
15              4        4.566640e-01	267603		62587
16             -4        2.177357e+00	1259429		299087
17              4        3.522484e+00	2031923		482139
18             -4        4.925879e+01	29501797		7176690
19              4        7.420619e+01	43574642		10625624
20             -4        1.836878e+02	107642870		25626713
