depth	   value	  time		generated	expanded(leaf)
0             -4               9e-06	0		1
1              4        1.500000e-05	1		1
2             -4        3.900000e-05	4		2
3              4        4.000000e-05	5		2
4             -4        1.230000e-04	12		4
5              4        9.300000e-05	13		4
6             -4        4.910000e-04	90		27
7              4        8.910000e-04	176		52
8             -4        1.917000e-03	1048		305
9              4        8.606000e-03	4497		1330
10             -4        1.742700e-02	11977		3381
11              4        1.104990e-01	76825		21699
12             -4        6.092320e-01	428401		119923
13              4        4.951055e+00	3478734		953486
14             -4        1.849872e+01	13078932		3619363
15              4        1.271018e+02	90647894		25526376
