depth	   value	  time		     generated	expanded(leaf)
0             -4               9e-06	0		    1
1              4        1.500000e-05	1		    1
2             -4        4.000000e-05	4		    2
3              4        3.000000e-05	4		    2
4             -4        1.080000e-04	15		    6
5              4        1.080000e-04	16		    6
6             -4        2.000000e-04	27		    8
7              4        4.960000e-04	73		    20
8             -4        2.626000e-03	341		    86
9              4        4.726000e-03	1481		393
10            -4        4.177000e-03	2176		571
11             4        6.847000e-03	3451		847
12            -4        2.098700e-02	10604		2751
13             4        8.498800e-02	43134		10715
14            -4        1.429530e-01	72267		18304
15             4        3.195520e-01	161808		41816
16            -4        1.058994e+00	537218		140325
17             4        1.964261e+00	1003078		264869
18            -4        1.248701e+01	6523174		1705777
19             4        4.445827e+01	23385092	6128742
20            -4        1.067079e+02	56338645	14453750
21             4        4.084185e+02	221377402	57293208
