depth	   value	  time		generated	expanded(leaf)
0             -4               1e-05	0		1
1             -4        1.500000e-05	1		1
2             -4        7.500000e-05	3		1
3             -4        3.000000e-05	4		1
4             -4        1.080000e-04	11		3
5             -4        1.040000e-04	12		3
6             -4        1.980000e-04	15		3
7             -4        4.990000e-04	17		3
8             -4        2.530000e-03	72		10
9             -4        9.463000e-03	278		40
10             -4        4.324000e-03	363		50
11             -4        7.366000e-03	447		61
12             -4        2.241600e-02	1038		147
13             -4        9.333900e-02	2623		389
14             -4        1.523860e-01	3234		473
15             -4        3.459980e-01	3986		548
16             -4        1.111356e+00	8766		1350
17             -4        2.023470e+00	10155		1518
18             -4        1.357698e+01	60899		9556
19             -4        5.247689e+01	130407		20118
20             -4        1.268059e+02	193404		29728
